dsire_id,match_reason,scout_relevant,state,category,program_type,implementing_sector,name,administrator,technologies,incentive_amounts,summary,details,website_url,last_updated,created_ts
4449,updated,True,AK,Financial Incentive,Property Tax Incentive,State,Local Option - Property Tax Exemption for Renewable Energy Systems,,,,"<p>
	Alaska enacted legislation in June 2010 that authorizes municipalities to pass ordinances that exempt residential renewable energy systems from taxation. Residential renewable energy systems are defined as systems that use an energy source other than fossil or nuclear fuel,<span style=""font-size: 11.8181819915771px;"">&nbsp;including wind, hydro and solar</span><span style=""font-size: 12px;"">.</span></p>",Incentive Amount: Varies (local option); Maximum Incentive: Varies (local option); Eligible System Size: ; Equipment Requirements: ,,"September 3, 2026",11/11/2010
22632,updated,True,AL,Financial Incentive,Grant Program,State,Alabama - National Electric Vehicle Infrastructure (NEVI) Formula Grant Program,Alabama Department of Economic and Community Affairs,,,"<p>The Alabama Department of Economic and Community Affairs (ADECA) stated that it <a href=""https://adeca.alabama.gov/wp-content/uploads/Alabama-Electric-Vehicle-Infrastructure-Plan.pdf"">plans</a> to administer the received funding through a competitive grant program that started in the early first half of 2023. According to the state agency, this funding (in addition to state funding) has been projected to make all Alabama interstates eligible to transition to EV corridor-ready status over the next 5-7 years. NEVI funding will help construct about 1,002 miles of EV charging corridors. On April 5, 2023, the ADECA released its state-funded EV charging infrastructure grant program application as part of its EV infrastructure plan. The deadline was set for midnight CST on May 22, 2023. </p><p>The ADECA released the fiscal year <a href=""https://adeca.alabama.gov/wp-content/uploads/Alabama-FY24-NEVI-Plan.pdf"">2024 plan</a> in late 2024. The new plan also detailed expected dates for grant application requests for NEVI-funded charging infrastructure, including the following: Round 1 in September 2023, Round 2 in Q4 2023, Round 3 in July 2024, Round 4 in July 2025, and Round 5 in July 2026. Applicants are required to provide a 20% minimum cost share, and the state will include all eligible EV charging corridors as eligible project locations during each NEVI application round. </p><p>ADECA began accepting Round 1 applications later than anticipated, having started the submittal process on October 24, 2023, until January 24, 2024. Round 1 funds did not exceed an estimated $11.74 million, and awards varied. Alabama's Round 2 of grant funds was then opened on December 12, 2024, and was expected to close on March 17, 2025. However in late January 2025, due to a <span>Trump administration executive order titled &#34;Unleashing American Energy,&#34; the ADECA paused its NEVI program. As a result ADECA closed the application window that was originally due to close in mid-March 2025. </span></p><p><span>The agency has been preparing a new application process and scoring guide for a future funding opportunity, following the approval of its FY2026 <a href=""https://adeca.alabama.gov/wp-content/uploads/FY26-Alabama-NEVI-Plan.pdf"">plan</a> on September 9, 2025. According to the plan, ADECA will cancel Round 1 project awards and Round 2 applications, and instead reopen the process by inviting new Round 3 applications between September 15 and December 15, 2025. Construction for this round of awards is scheduled to begin on June 16, 2026. A Round 4 application window is expected to run from April 15 through July 14, 2026, with construction anticipated to start on December 31, 2026.</span></p>",Incentive Amount: Varies; Maximum Incentive: ; Equipment Requirements: ; Installation Requirements: ,https://adeca.alabama.gov/ev/,"January 2, 2026",06/12/2024
22510,updated,True,AL,Financial Incentive,Grant Program,State,Energy-Efficient Retrofits Program,State Energy Program,HVAC; Lighting; Programmable Thermostats; Solar Photovoltaics; Solar Thermal Electric,Incentive min: 25.0000 $; Incentive max: 50.0000 $,"<p><i><b>*Note: FY26 applications closed on January 30, 2026. <a href=""https://adeca.alabama.gov/wp-content/uploads/SEP-FY25-Energy-Efficient-Retrofits.pdf"">Click here</a> for the application.</b></i></p><p>The Alabama Energy Division's State Energy Program is accepting applications for the Energy-Efficient Retrofits Program grant. The grant must be used for the installation of energy-efficiency improvements and may be used by local governments, public K-12 school systems, and non-profit organizations. Energy-efficient measures such as energy-efficient lighting, HVAC replacements, programmable thermostats, solar PV systems (rooftop, parking lot canopy, or a max 60 kW ground installed system), or solar thermal systems that are max 20 kW.</p>","Incentive Amount: $25,000 to $50,000; Maximum Incentive: $50,000; Equipment Requirements: ; Installation Requirements: ",https://adeca.alabama.gov/sep/,"March 2, 2026",05/17/2023
5785,updated,True,AR,Financial Incentive,Rebate Program,Utility,Arkansas Oklahoma Gas (AOG) Residential Rebate Program,,Furnaces; Programmable Thermostats; Water Heaters,Incentive : 700.0000 $/Unit; Incentive : 100.0000 $/Unit; Incentive min: 400.0000 $; Incentive max: 800.0000 $,"<p>Arkansas Oklahoma Gas (AOG) provides financial incentives to its residential and small commercial customers for both existing and new construction homes and small business whose primary fuel for heating is natural gas. Incentives for dealers/installers are available for specific equipments. <span>Application along with necessary documents must be submitted to the rebate center within 90 days of installation date or before December 31. Rebate checks will be mailed within 4-6 weeks after completion. </span></p><p></p><p>AOG also a part of a statewide <a href=""https://aogc.com/WeatherizationProgram"">joint weatherization program</a>. The program helps to promote energy efficiency in low income single family residential customers. Incentives are available to cover cost. Please call 1-800-842-5690 or 501-776-8446 for more information. </p><p></p><p><br/></p><p><br/></p>","Incentive Amount: <b>Gas Furnace:</b><br>
90%-94.9% efficienct: $400 (Customer Rebate), $50 (Trade Ally Rebate) <br>
95% efficient or higher: $800 (Customer Rebate), $50 (Trade Ally Rebate) <br><br>

<b>Natural Gas Water Heater:  </B><br>
0.90 EF or higher or 90% TE or higher: $700 (Customer rebate), $50 (Trade Ally Rebate) <br><br>

Smart Thermostat: $100<br>; Maximum Incentive: ; Eligible System Size: Gas Furnace: 90% Efficient or higher  <br>
Natural Gas Water Heater: 0.90 EF or higher  <br>; Equipment Requirements: Must be certified by AHRI; Installation Requirements: ; Ownership of Renewable Energy Credits: ",https://www.aogc.com/energyefficiency.aspx,"October 22, 2025",06/15/2015
3681,updated,True,AR,Financial Incentive,Rebate Program,Utility,Entergy Arkansas - CitySmart Energy Efficiency Program,"Entergy Arkansas, Inc.",,,"<p>&#10;&#9;The CitySmart Program is an energy efficiency program designed to provide financial incentives to public sector, public/private K-12 schools, and higher education customers for the installation of a wide range of energy efficiency measures that provide energy savings in eligible facilities. Projects that benefit from this program include prescriptive measures (i.e. lighting) as well as complex commercial or projects requiring measurement and verification (i.e. energy management systems). Program benefits include information on energy efficiency best practices, program documentation assistance, savings calculations, measurement and verification, and financial incentives. The tiered incentive structure provides an increased incentive for comprehensive projects that incorporate multiple measures. This program also provides benchmarking and energy master planning services for eligible customers at no cost.</p>&#10;<p>&#10;&#9;No cost direct install measures include low flow aerators, low flow pre-rinse spray valves, compact fluorescent lamps, vending misers, and shower heads.</p>&#10;<p>&#10;&#9; </p>","Incentive Amount: PC Power Management: $0.10/kWh<br/><br/>
<b>All other measures</b><br/>
One Measure: $0.12/kWh<br />
Two Measures: $0.13/kWh<br />
Three Measures: $0.14/kWh<br />
Comprehensive Measures (4 +): $0.15/kWh; Maximum Incentive: ; Eligible System Size: Measures targeted to result in estimated energy savings of at least 25,000 kWh.; Equipment Requirements: ; Installation Requirements: ; Ownership of Renewable Energy Credits: ",https://www.entergyarkansas.com/energyefficiency/business/citysmart,"October 28, 2025",09/21/2009
5494,updated,True,AR,Financial Incentive,Rebate Program,Utility,Entergy Arkansas - Small Business Energy Efficiency Programs,Entergy Arkansas,Building Insulation; Duct/Air sealing; Lighting; Refrigerators/Freezers,Incentive : 0.1700 $/kWh; Incentive : 0.3000 $/kWh; Incentive : 0.3500 $/kWh,"<p>
	The Small Business Program is an energy efficiency program designed to provide financial incentives for the installation of a wide range of simple energy efficiency measures that provide energy savings in facilities. This program is available for any non-residential customer of Entergy Arkansas with a peak connected load of less than 100 kW. &nbsp;</p>","Incentive Amount: Lighting and Lighting Controls: $0.17 per kWh<br>
HVAC Replacement: $0.17 per kWh<br>
Duct Sealing:$0.35 per kWh<br>
Ceiling Insulation: $0.35 per kWh<br>
Refrigeration: $0.30 per kWh; Maximum Incentive: Refrigeration savings other than gaskets and strip curtains in the program will be capped at 300,000 kWh for the current program year. Once the cap has been met, refrigeration savings will be paid at a rate of $0.17 per kWh.; Eligible System Size: ; Equipment Requirements: ; Installation Requirements: ; Ownership of Renewable Energy Credits: ",http://www.entergyarkansas.com/smallbusiness,"November 6, 2025",06/24/2014
3637,updated,True,AR,Financial Incentive,Rebate Program,Utility,Liberty Utilities - Commercial & Industrial Energy Efficiency Rebates,Liberty Utilities,Air conditioners; Chillers; Energy Mgmt. Systems/Building Controls; Heat pumps; LED Lighting; Lighting,Incentive min: 7.0000 $/Unit; Incentive max: 280.0000 $/Unit; Incentive min: 6.0000 $; Incentive max: 50.0000 $; Incentive min: 35.0000 $/ton; Incentive max: 50.0000 $/ton; Incentive min: 10.0000 $/ton; Incentive max: 40.0000 $/ton; Incentive min: 40.0000 $/ton; Incentive max: 50.0000 $/ton; Incentive : 130.0000 $,"<p>Liberty Utilities offers a Commercial/Industrial Prescriptive Rebate Program to its non-residential customers in Arkansas who purchase certain high-efficiency equipment for eligible facilities. A variety of prescriptive rebates are available to all electric customers served under any non-residential rate schedule in the Empire service territory. These programs provide a means to reduce operating costs and increase efficiency concepts that are key components to operating successful businesses. Through these programs, Liberty offers incentives to help lower the cost of identifying and purchasing energy-efficient equipment for use in your facilities. Examples of equipment that might be rebated include high-efficiency lighting, air conditioning, heating systems, motors, refrigeration, energy managements systems, and just about anything else that uses electricity. Customers may receive incentive amount up to $20,000 per facility per program year.<br/></p>","Incentive Amount: <ul>
  <li><strong>Custom Rebates</strong>
    <ul>
      <li>Custom project — $0.20 per kWh saved</li>
    </ul>
  </li>

  <li><strong>Lighting Measures</strong>
    <ul>
      <li>LED high &amp; low bay fixture — Per fixture $70.00</li>
      <li>High bay fluorescent fixture (HP T8 &gt;4 lamps) — Per fixture $40.00</li>
      <li>High bay fluorescent fixture (HP T8 &le;4 lamps) — Per fixture $40.00</li>
      <li>High bay fluorescent fixture w/ HE electronic ballast (T5 &gt;4 lamps) — Per fixture $50.00</li>
      <li>High bay fluorescent fixture w/ HE electronic ballast (T5 &le;4 lamps) — Per fixture $50.00</li>
      <li>LED direct linear ambient fixtures &le;35W — Per fixture $30.00</li>
      <li>LED direct linear ambient fixtures 36W–60W — Per fixture $70.00</li>
      <li>LED direct linear ambient fixtures 61W–100W — Per fixture $90.00</li>
      <li>LED linear replacement lamps (Type A or AB), 2 ft — Per fixture $7.00</li>
      <li>LED linear replacement lamps (Type A or AB), 4 ft — Per fixture $8.00</li>
      <li>LED direct linear ambient fixtures &le;35W (Exterior) — Per fixture $30.00</li>
      <li>LED direct linear ambient fixtures 36W–60W (Exterior) — Per fixture $70.00</li>
      <li>LED direct linear ambient fixtures 61W–100W (Exterior) — Per fixture $90.00</li>
      <li>LED linear replacement lamps (Type A or AB), 2 ft (Exterior) — Per fixture $7.00</li>
      <li>LED linear replacement lamps (Type A or AB), 4 ft (Exterior) — Per fixture $8.00</li>
      <li>LED parking garage/canopy (&lt;45W) — Per fixture $40.00</li>
      <li>LED parking garage/canopy (45–75W) — Per fixture $120.00</li>
      <li>LED parking garage/canopy (&ge;75W) — Per fixture $280.00</li>
      <li>LED wall-mounted area lights (&lt;30W) — Per fixture $40.00</li>
      <li>LED wall-mounted area lights (30–75W) — Per fixture $120.00</li>
      <li>LED wall-mounted area lights (&ge;75W) — Per fixture $280.00</li>
      <li>LED exit sign — Per fixture $17.00</li>
      <li>LED flood light (&ge;15W) — Per fixture $40.00</li>
      <li>LED recessed fixture (1×4) — Per fixture $38.00</li>
      <li>LED recessed fixture (2×2) — Per fixture $27.00</li>
      <li>LED recessed fixture (2×4) — Per fixture $28.00</li>
      <li>Photocell occupancy sensor — Per bulb $30.00</li>
      <li>Wall switch occupancy sensor — Per bulb $30.00</li>
      <li>Lighting optimization — remove 4 ft lamp from T8 system — Per fixture $6.00</li>
      <li>Lighting optimization — remove 8 ft lamp from T8 system — Per fixture $8.00</li>
    </ul>
  </li>

  <li><strong>HVAC Measures</strong>
    <ul>
      <li>Water-cooled chiller — Centrifugal — Per ton $50.00</li>
      <li>Water-cooled chiller — Rot/Scr/Scr/Rec — Per ton $35.00</li>
      <li>Room air conditioner (12 EER) — Per unit $20.00</li>
      <li>CAC &lt;65 kBtu — Per ton $30.00</li>
      <li>CAC 65&lt;135 kBtu — Per ton $30.00</li>
      <li>CAC 135&lt;240 kBtu — Per ton $30.00</li>
      <li>CAC 240&lt;760 kBtu — Per ton $10.00</li>
      <li>CAC &ge;760 kBtu — Per ton $10.00</li>
      <li>Heat pump &lt;65 kBtu — Per ton $50.00</li>
      <li>Heat pump 65&lt;135 kBtu — Per ton $50.00</li>
      <li>Heat pump 135&lt;240 kBtu — Per ton $50.00</li>
      <li>Heat pump &ge;240 kBtu — Per ton $50.00</li>
      <li>Packaged terminal air conditioner — Per unit $40.00</li>
      <li>Packaged terminal heat pump — Per unit $40.00</li>
      <li>Guest room energy management — Per unit $130.00</li>
      <li>Variable speed drive — chilled water pump — Per unit $500.00</li>
      <li>Variable speed drive — hot water pump — Per unit $500.00</li>
      <li>Demand-controlled ventilation — Per unit $750.00</li>
    </ul>
  </li>

  <li><strong>Kitchen / Refrigeration &amp; Controls</strong>
    <ul>
      <li>Evaporator fan control (with EMS) — Per unit $80.00</li>
      <li>Strip curtain for walk-in cooler/freezer — Per linear ft $5.00</li>
      <li>Night covers for open refrigerated display cases — Per linear ft $20.00</li>
      <li>Door heater controls (refrigerated display cases) — Per unit $40.00</li>
      <li>Refrigeration economizer, &lt;750W — Per unit $150.00</li>
      <li>LED refrigerator case light — Per ft $6.00</li>
    </ul>
  </li>
</ul>; Maximum Incentive: $20,000 per facility per year; Eligible System Size: See program website.; Equipment Requirements: See program website.; Installation Requirements: ; Ownership of Renewable Energy Credits: ",https://central.libertyutilities.com/all/residential/ways-to-save/arkansas-electric-commercial-industrial-program.html,"November 6, 2025",08/26/2009
22726,updated,True,AZ,Financial Incentive,Rebate Program,State,Arizona – Home Electrification and Appliance Rebate (HEAR) Program,Governor’s Office of Resiliency,Building Insulation; Duct/Air sealing; Heat Pump Water Heater; Heat pumps; Induction Cooking Appliance; Insulation; Water Heaters,Incentive max: 1750.0000 $; Incentive max: 8000.0000 $; Incentive max: 1600.0000 $; Incentive max: 840.0000 $,"<p><i><b>Note: The Federal Inflation Reduction Act (IRA) created the Home Electrification and Appliance Rebate (HEAR) Program. The IRA established the main parameters for this program, but allowed the states to customize the program to meet their state-specific needs. The program is designed to award rebates for purchase of qualifying home electrification equipment and appliances. Residents earning less than 80% of the Area Median Income (<a href=""https://www.huduser.gov/portal/datasets/il.html"">AMI</a>) can receive the full rebate amount, and residents earning between 80% and 150% AMI can receive a partial rebate. See summary below and program website for complete details.</b></i></p><p><i><b>Arizona is launching the HEAR program in phases. As of December 202</b><b>4, only rebates for single-family homes are available. A multifamily pilot is expected in Q2 2025.</b></i></p><p>The Arizona Governor’s Office of Resiliency will receive $76 million in federal funding for the HEAR Program. Incentives are available to owners of single-family homes who earn less than 80% of their county’s AMI or who participate in certain state or federal benefit programs. Residents between 80% and 150% of their county’s AMI are eligible for reduced rebates.</p><p>The maximum incentive is $14,000 per household; rebates are also capped at 100% of project costs for low-income residents (80% AMI threshold) and 50% of project costs for moderate-income residents (150% AMI threshold). When applicable, technologies must be ENERGY STAR certified and/or installed by an authorized program contractor.</p><p>Incentives are available for:</p><ul><li>Heat Pump Water Heaters: up to $1,750</li><li>Heat Pumps for Space Heating: up to $8,000</li><li>Heat Pump Clothes Dryers: up to $840</li><li>Electric Load Service Center (electric panel upgrades): up to $4,000</li><li>Electrical Wiring: up to $2,500</li><li>Insulation, Air Sealing, Ventilation: up to $1,600<br/><br/></li></ul>","Incentive Amount: Heat Pump Water Heater: up to $1,750<br>
Heat Pump for Space Heating: up to $8,000<br>
Heat Pump Clothes Dryer: up to $840<br>
Electric Load Service Center (electric panel upgrades): up to $4,000<br>
Electrical Wiring: up to $2,500<br>
Insulation, Air Sealing, Ventilation: up to $1,600; Maximum Incentive: Up to $14,000 per household<br>
Low-income: up to 100% of costs<br>
Moderate-income: up to 50% of costs<br>; Eligible System Size: Not specified; Equipment Requirements: Equipment must be ENERGY STAR certified; Installation Requirements: Equipment must be installed by an authorized program contractor; Ownership of Renewable Energy Credits: N/A",https://efficiencyarizona.com/,"May 26, 2026",12/12/2024
1683,updated,True,AZ,Financial Incentive,Property Tax Incentive,State,Energy Equipment Property Tax Exemption,Arizona Department of Revenue,,,"<p>&#10;&#9;Arizona’s property tax exemption was established in June 2006 (<a href=""http://www.azleg.gov/legtext/47leg/2r/bills/hb2429s.pdf"" target=""_blank"">H.B. 2429</a>) and originally applied only to “solar energy devices and any other device or system designed for the production of solar energy for on-site consumption.” For property tax assessment purposes, these devices are considered to add no value to the property.</p><p>&#10;&#9;A &#34;solar energy device&#34; for the purpose of this incentive is defined as &#34;a system or series of mechanisms designed primarily to provide heating, to provide cooling, to produce electrical power, to produce mechanical power, to provide solar daylighting or to provide any combination of the foregoing by means of collecting and transferring solar generated energy into such uses either by active or passive means. Such systems may also have the capability of storing such energy for future utilization. Passive systems shall clearly be designed as a solar energy device such as a trombe wall and not merely a part of a normal structure such as a window.&#34;</p><p>&#10;&#9;<a href=""http://www.azleg.gov/legtext/49leg/1r/bills/hb2332s.pdf"" target=""_blank"">H.B. 2332</a>, signed in July of 2009, expanded the exemption to include other renewable energy technologies, as well as combined heat and power systems, and energy efficient building components. The bill defines renewable energy equipment as &#34;equipment that is used to produce energy primarily for on-site consumption from renewable resources, including wind, forest thinnings, agricultural waste, biogas, biomass, geothermal, and low-impact hydropower.&#34;</p><p>&#10;&#9;Energy efficient building components are defined as &#34;high performance building components installed so that the buildings or building components meet or exceed the energy efficiencies prescribed by the United States Environmental Protection Agency Energy Star Program, or by a Leadership in Energy and Environmental Design green building rating standard developed by the U.S. Green Building Council, or an equivalent green building standard, or that are at least fifteen percent more efficient than the International Energy Conservation Code in effect at the time of building permit issuance.&#34;</p><p>&#10;&#9;To qualify for the property tax exemption, the property owner must provide their county assessor with documentation affirming the actual purchase and installation, including costs, of the eligible equipment. This documentation must be submitted no less than six months before the notice of full cash value is issued for the initial valuation year.</p>",Incentive Amount: 100% of increased value; Maximum Incentive: ; Eligible System Size: ; Equipment Requirements: Solar and other renewable energy resources must be used primarily for on-site consumption,,"September 4, 2026",06/26/2006
2984,expired+updated,True,AZ,Financial Incentive,Property Tax Incentive,State,Property Tax Assessment for Renewable Energy Equipment,Arizona Department of Revenue,,,"<p>&#10;&#9;For the purpose of determining property tax, renewable energy and storage equipment owned by utilities and other entities operating in Arizona is assessed at 20% of the &#34;taxable original cost&#34; after deducting depreciation. &#34;Renewable energy equipment&#34; is defined as &#34;electric generation facilities, electric transmission, electric distribution, gas distribution or combination gas and electric transmission and distribution and transmission and distribution cooperative property that is located in this state, that is used or useful for the generation, storage, transmission or distribution of electric power, energy or fuel derived from solar, wind or other nonpetroleum renewable sources not intended for self-consumption, including materials and supplies and construction work in progress, but excluding licensed vehicles and property valued under sections <a href=""https://www.azleg.gov/ars/42/14154.htm"">42-14154</a> and <a href=""https://www.azleg.gov/ars/42/14156.htm"">42-14156</a>.&#34;</p><p><a href=""https://www.azleg.gov/legtext/51leg/2R/laws/0264.pdf"">&#10;&#9;H.B. 2403</a> of 2014 clarified that depreciation should be determined using straight-line depreciation over the useful life of the equipment. The taxable original cost equals the original cost of the equipment, reduced by any investment tax credits, production tax credits, or grants in lieu of investment tax credits.</p>",Incentive Amount: Renewable energy equipment assessed at 20% of its depreciated cost; Maximum Incentive: ; Eligible System Size: ; Equipment Requirements: Energy must not be used on-site,,"September 4, 2026",06/24/2008
